"","x","y","c","ols"
"1",660.976,304.225,0,18.44688
"2",636.213,306.174,0,18.8580933333334
"3",662.753,307.565,0,16.34268
"4",657.487,307.74,0,14.8008266666667
"5",635.273,308.157,0,17.4388933333333
"6",640.484,309.592,0,15.5788066666667
"7",660.523,309.613,0,14.3262266666667
"8",658.759,312.594,0,13.2739733333333
"9",674.821,315.093,0,16.5603466666667
"10",649.17,316.174,0,13.9473066666667
"11",631.858,316.908,0,13.1124666666667
"12",673.506,317.648,0,15.51542
"13",637.439,318.289,0,11.5328666666667
"14",644.003,320.565,0,11.3286466666667
"15",622.679,320.843,0,15.9368466666667
"16",655.504,320.916,0,13.2882
"17",626.318,321.78,0,14.00292
"18",633.245,322.492,0,11.2491866666667
"19",678.36,323.472,0,13.4585666666667
"20",637.081,323.619,0,10.5579133333333
"21",653.079,324.434,0,11.5862666666666
"22",639.035,324.523,0,9.93918
"23",680.978,324.669,0,13.9995133333333
"24",644.647,325.905,0,9.52008666666666
"25",652.268,326.389,0,10.8897733333333
"26",665.755,327.567,0,13.2866666666667
"27",675.27,327.608,0,12.0514666666667
"28",631.213,327.95,0,12.6058866666667
"29",643.6,328.542,0,9.44875333333333
"30",668.535,329.06,0,13.2323333333333
"31",658.985,329.159,0,12.4979333333333
"32",651.423,329.337,0,10.9682
"33",646.127,329.862,0,9.70255333333332
"34",683.672,330.534,0,15.2534466666667
"35",666.442,331.637,0,13.9480666666667
"36",682.478,331.858,0,14.6634466666666
"37",640.783,333.145,0,10.2669533333333
"38",649.948,333.168,0,11.3032666666667
"39",663.551,333.265,0,14.2924666666667
"40",624.463,333.342,0,13.2097933333333
"41",645.513,334.213,0,10.59042
"42",632.527,334.935,0,12.9846866666667
"43",639.959,335.242,0,10.7427533333333
"44",670.422,336.607,0,14.2712
"45",647.217,340.107,0,11.8002666666667
"46",685.94,340.389,0,20.3007133333334
"47",620.777,341.34,0,14.12156
"48",618.936,341.409,0,15.49082
"49",679.985,341.547,0,16.3633066666667
"50",627.324,341.603,0,11.6957333333333
"51",639.416,342.035,0,11.632
"52",622.928,342.459,0,12.5674266666667
"53",662.056,342.529,0,14.1507333333333
"54",676.484,342.75,0,15.9491333333333
"55",642.366,345.063,0,10.9089333333333
"56",639.621,345.609,0,11.11014
"57",630.04,346.568,0,11.86816
"58",646.7,346.681,0,9.94913333333332
"59",625.209,346.771,0,11.9975333333333
"60",650.768,347.282,0,9.75540000000001
"61",672.056,347.548,0,14.4613466666667
"62",629.259,347.766,0,12.31176
"63",654.751,347.881,0,10.2848
"64",656.628,348.501,0,10.6438666666667
"65",660.134,348.671,0,10.87268
"66",667.984,349.415,0,12.2993466666667
"67",642.738,349.951,0,11.0698733333333
"68",652.024,349.986,0,9.90753333333333
"69",671.291,350.525,0,13.8600133333334
"70",637.791,350.903,0,12.3996733333333
"71",649.556,351.032,0,9.81166666666666
"72",654.517,352.398,0,11.322
"73",659.838,353.262,0,11.32728
"74",648.966,356.048,0,13.0308733333333
"75",669.789,357.397,0,14.37088
"76",665.373,359.929,0,12.97432
"77",624.855,360.424,0,16.9301266666666
